,0
1241,1018666
1242,34505098
1243,4161641
1244,14737178
1245,3783215
1246,1101187
1247,4510252
1248,33584572
1249,32649366
1250,6022350
1251,4882536
1252,3719600
1253,30223898
1254,4582380
1255,28954630
1256,3765688
1257,4536580
1258,34805739
1259,4039726
1260,4554134
1261,33770134
1262,1039500
1263,4554805
1264,4533453
1265,1246581
1266,13551813
1267,16392255
1268,31928560
1269,32928262
1270,14999737
1271,3475070
1272,4445900
1273,19666953
1274,4287535
1275,34364641
1276,2748340
1277,9543724
1278,34494060
1279,4628309
1280,26077072
1281,15668013
1282,34440509
1283,33959265
1284,33674416
1285,4789965
1286,33739792
1287,26204844
1288,7078577
1289,15411216
1290,13464586
1291,4458473
1292,3004982
1293,34176238
1294,7692080
1295,16218098
1296,4574215
1297,21865045
1298,21111419
1299,4486177
1300,34249242
1301,4346728
1302,31938008
1303,4657918
1304,27462401
1305,33107553
1306,17033782
1307,33464141
1308,33267630
1309,33149418
1310,4462649
1311,30485406
1312,28726381
1313,3541346
1314,34398666
1315,18880681
1316,30776509
1317,3475917
1318,20493649
1319,21040001
1320,4429320
1321,29200233
1322,1204721
1323,4649078
1324,4506063
1325,3872400
1326,1474234
1327,25271133
1328,33923546
1329,31339584
1330,34437421
1331,3899123
1332,12246564
1333,4395645
1334,7807239
1335,6724046
1336,33751411
1337,4384771
1338,34826184
1339,1543829
1340,3787505
1341,7307505
1342,13217557
1343,33957747
1344,4266868
1345,28818934
1346,2507154
1347,31301627
1348,4406260
1349,23747913
1350,13019066
1351,34206190
1352,4095085
1353,27851841
1354,3979597
1355,4609024
1356,34463867
1357,3364933
1358,12462505
1359,29078914
1360,3407704
1361,17271868
1362,32970879
1363,3726806
1364,15166307
1365,2347932
1366,16680743
1367,4461279
1368,29688601
1369,30937237
1370,19342059
1371,29764613
1372,3880514
1373,32874619
1374,6703010
1375,4050919
1376,30109313
1377,34682537
1378,22216926
1379,1999152
1380,34521057
1381,4460943
1382,4356034
1383,9167741
1384,4572136
1385,31168277
1386,34705542
1387,4619928
1388,4634076
1389,1297019
1390,1029871
1391,34475946
1392,30325555
1393,20755132
1394,4987527
1395,34486783
1396,4544689
1397,32491080
1398,15493816
1399,15250525
1400,13672189
1401,33977702
1402,9186964
1403,24259399
1404,24488964
1405,34897545
1406,14580692
1407,32946058
1408,32523902
1409,8708137
1410,29183464
1411,4474295
1412,34895493
1413,6090151
1414,6123054
1415,33683247
1416,9748966
1417,34740063
1418,3379821
1419,1043403
1420,26343438
1421,4485583
1422,4592642
1423,34076333
1424,4115847
1425,33675802
1426,34471870
1427,4351724
1428,32354483
1429,4316701
1430,2325256
1431,33286485
1432,25028679
1433,32664424
1434,4483460
1435,28797149
1436,17859578
1437,30075783
1438,34483243
1439,4278867
1440,20256457
1441,34404252
1442,34745581
1443,4528492
1444,34349428
1445,2409637
1446,34526547
1447,4474991
1448,23850314
1449,4638973
1450,3603120
1451,1165789
1452,10304363
1453,3759321
1454,20055560
1455,4420961
1456,4570174
1457,32618925
1458,12463903
1459,33694454
1460,13385207
1461,34165684
1462,3660843
1463,30761787
1464,34631234
1465,32338065
1466,24803199
1467,29948906
1468,4195248
1469,6735018
1470,34655042
1471,34250075
1472,31492071
1473,33818651
1474,34444980
1475,12806443
1476,2968594
1477,5714719
1478,3331611
1479,15961733
1480,34129469
1481,1540934
1482,28791270
1483,4521509
1484,34641103
1485,4525260
1486,4472304
1487,32507003
1488,28790939
1489,33934345
1490,31322024
1491,4553036
1492,1015146
1493,7966597
1494,31681136
1495,31088565
1496,34121147
1497,34826353
1498,30896463
1499,33879928
1500,2800212
1501,32061988
1502,17231238
1503,34759982
1504,29604190
1505,32775429
1506,2091533
1507,1231388
1508,17366886
1509,34323821
1510,2680621
1511,14053353
1512,15077759
1513,7633172
1514,15248778
1515,33606483
1516,34804378
1517,4155205
1518,4512362
1519,34692065
1520,2402069
1521,24313466
1522,15146468
1523,8977755
1524,33241919
1525,4493054
1526,34687981
1527,31142391
1528,13753277
1529,5805512
1530,4503595
1531,34813863
1532,34819865
1533,4660282
1534,8722390
1535,2919253
1536,29103454
1537,14504871
1538,30748022
1539,16689073
1540,15225174
1541,33936901
1542,1898623
1543,11708865
1544,2679656
1545,4478298
1546,1484156
1547,4172272
1548,33343360
1549,26002870
1550,16281677
1551,15449214
1552,3899105
1553,33908580
1554,18936028
1555,34252092
1556,33599739
1557,34378893
1558,34826920
1559,23676606
1560,32920960
1561,34596265
1562,1103439
1563,28978041
1564,3987370
1565,20167074
1566,4011383
1567,4684636
1568,18187390
1569,4494481
1570,5527133
1571,4604136
1572,4539811
1573,4309414
1574,1918604
1575,33478842
1576,4719892
1577,4540278
1578,14174849
1579,34315884
1580,4235449
1581,26509820
1582,25294710
1583,17491106
1584,32515431
1585,15257492
1586,34244854
1587,14714585
1588,1289874
1589,27178251
1590,25523110
1591,13410792
1592,32234412
1593,4292898
1594,33413152
1595,34795198
1596,7995367
1597,34732064
1598,34334849
1599,14434845
1600,34256336
1601,4646438
1602,11418471
1603,11006999
1604,2838339
1605,1964391
1606,30916815
1607,31291651
1608,9584035
1609,19019273
1610,33329035
1611,34317291
1612,4386889
1613,12643946
1614,34325350
1615,3898601
1616,8381404
1617,15399901
1618,30626325
1619,28894008
1620,31135399
1621,4343224
1622,3756892
1623,4406929
1624,3230085
1625,31284231
1626,11589091
1627,23515765
1628,33763561
1629,15230592
1630,33006481
1631,17441469
1632,8352012
1633,23327403
1634,21043722
1635,32429147
1636,3092741
1637,33958887
1638,1924063
1639,34615344
1640,31178353
1641,30480501
1642,4701904
1643,34535473
1644,28126236
1645,9354243
1646,2761934
1647,33461111
1648,4661564
1649,34643113
1650,28844533
1651,4326015
1652,33230799
1653,4493788
1654,31342098
1655,4696005
1656,31712504
1657,2296281
1658,1870006
1659,1081511
1660,30803068
1661,20266703
1662,4538231
1663,4415703
1664,27707826
1665,2859404
1666,34253828
1667,2751782
1668,32606046
1669,3514702
1670,6583874
1671,31764425
1672,4394954
1673,4587765
1674,3347495
1675,1902873
1676,34201880
1677,4617160
1678,34798802
1679,33873546
1680,11702071
1681,33954538
1682,33319652
1683,13073230
1684,4527857
1685,2241791
1686,12485097
1687,15263218
1688,4572998
1689,2508661
1690,15373575
1691,27801438
1692,34741599
1693,9034236
1694,4511237
1695,4451799
1696,34606092
1697,4316423
1698,2001762
1699,34438938
1700,33842516
1701,31519979
1702,1622012
1703,30586141
1704,33830463
1705,17927721
1706,29262287
1707,14522261
1708,34927370
1709,29957514
1710,33093107
1711,28635395
1712,22337158
1713,2049724
1714,2741074
1715,33766974
1716,33043342
1717,4548794
1718,34339031
1719,32501694
1720,34956979
1721,18062947
1722,15246682
1723,31743283
1724,4521130
1725,34290615
1726,20695988
1727,4528040
1728,13200991
1729,2211570
1730,33203130
1731,22417369
1732,34254010
1733,25891131
1734,2092858
1735,34017159
1736,33244985
1737,1754915
1738,33265572
1739,4526185
1740,30798579
1741,30662884
1742,34210198
1743,16176885
1744,34461327
1745,32324916
1746,32617891
1747,34131642
1748,8526213
1749,28602240
1750,18095986
1751,4563632
1752,30635935
1753,15331208
1754,34290029
1755,6162015
1756,34789162
1757,4562328
1758,27185700
1759,29163452
1760,8979892
1761,31938976
1762,34433022
1763,4406052
1764,17397638
1765,17105439
1766,4675209
1767,34289729
1768,2929003
1769,34685720
1770,4420469
1771,30086361
1772,31285125
1773,5475246
1774,34417713
1775,7240866
1776,34141528
1777,24585967
1778,15694556
1779,30611626
1780,2675257
1781,8539863
1782,1834664
1783,17516163
1784,24868330
1785,26272205
1786,5209239
1787,12862801
1788,34210861
1789,28937872
1790,15222851
1791,34241375
1792,3393165
1793,26468413
1794,34414485
1795,21841840
1796,3438110
1797,3228689
1798,12050769
1799,1225572
1800,34139127
1801,7978832
1802,22777517
1803,34489058
1804,29049690
1805,30829241
1806,4011326
1807,11139913
1808,25094098
1809,2712147
1810,32084522
1811,14628339
1812,8559043
1813,24356309
1814,32646074
1815,34380009
1816,16579338
1817,2988286
1818,34747321
1819,4652562
1820,29625668
1821,8520570
1822,34786549
1823,3693690
1824,34750660
1825,27379580
1826,34440603
1827,32628718
1828,30250839
1829,3939579
1830,4655243
1831,15232826
1832,33441171
1833,33933663
1834,3892164
1835,4507385
1836,34044809
1837,2816665
1838,34628756
1839,4409229
1840,33379692
1841,24416574
1842,32333509
1843,34743103
1844,3785690
1845,34425161
1846,8657426
1847,34776612
1848,1673756
1849,32685032
1850,4521626
1851,33906048
1852,13850393
1853,23208403
1854,32431312
1855,30567336
1856,4237491
1857,23884804
1858,9006598
1859,4432450
1860,2726862
1861,4051745
1862,33919558
1863,25764501
1864,4401727
1865,3475429
1866,29036451
1867,1100343
1868,1325187
1869,29848305
1870,33872974
1871,33684276
1872,29028525
1873,2869022
1874,5017141
1875,3926914
1876,3619692
1877,19432299
1878,34341934
1879,4243520
1880,34403486
1881,3014031
1882,13650193
1883,28175429
1884,34120931
1885,8449716
1886,7944307
1887,21754939
1888,18225890
1889,21877844
1890,32432154
1891,14437261
1892,8334095
1893,27472430
1894,4537541
1895,31939586
1896,8537180
1897,30019919
1898,2773749
1899,33437855
1900,34373396
1901,8914434
1902,4638999
1903,1050971
1904,4534393
1905,28510109
1906,32419450
1907,7277526
1908,4749001
1909,4646695
1910,33616216
1911,4548581
1912,4309762
1913,2914177
1914,4474307
1915,4480360
1916,2447333
1917,1420868
1918,34218050
1919,26351840
1920,3780326
1921,1464937
1922,9158365
1923,3411004
1924,4474715
1925,4679036
1926,8844049
1927,15823743
1928,4630000
1929,23145557
1930,23086038
1931,1336512
1932,34459817
1933,4472542
1934,34316988
1935,29645791
1936,4460092
1937,30560702
1938,4470638
1939,32038801
